antlr/antlr,antlr/antlr/2.7.7
org.apache.activemq/activemq-log4j-appender,org.apache.activemq/activemq-log4j-appender/5.14.5
org.apache.activemq/activemq-mqtt,org.apache.activemq/activemq-mqtt/5.14.5
org.apache.activemq/activemq-openwire-generator,org.apache.activemq/activemq-openwire-generator/5.14.5
org.apache.activemq/activemq-openwire-legacy,org.apache.activemq/activemq-openwire-legacy/5.14.5
org.apache.activemq/activemq-osgi,org.apache.activemq/activemq-osgi/5.14.5
org.apache.activemq/activemq-partition,org.apache.activemq/activemq-partition/5.14.5
org.apache.activemq/activemq-pool,org.apache.activemq/activemq-pool/5.14.5
org.apache.activemq/activemq-ra,org.apache.activemq/activemq-ra/5.14.5
org.apache.activemq/activemq-run,org.apache.activemq/activemq-run/5.14.5
org.apache.activemq/activemq-runtime-config,org.apache.activemq/activemq-runtime-config/5.14.5
org.apache.activemq/activemq-shiro,org.apache.activemq/activemq-shiro/5.14.5
org.apache.activemq/activemq-spring,org.apache.activemq/activemq-spring/5.14.5
org.apache.activemq/activemq-stomp,org.apache.activemq/activemq-stomp/5.14.5
org.apache.activemq/activemq-web,org.apache.activemq/activemq-web/5.14.5
org.apache.activemq/artemis-amqp-protocol,org.apache.activemq/artemis-amqp-protocol/1.5.6
org.apache.activemq/artemis-commons,org.apache.activemq/artemis-commons/1.5.6
org.apache.activemq/artemis-core-client,org.apache.activemq/artemis-core-client/1.5.6
org.apache.activemq/artemis-jms-client,org.apache.activemq/artemis-jms-client/1.5.6
org.apache.activemq/artemis-jms-server,org.apache.activemq/artemis-jms-server/1.5.6
org.apache.activemq/artemis-journal,org.apache.activemq/artemis-journal/1.5.6
org.apache.activemq/artemis-native,org.apache.activemq/artemis-native/1.5.6
org.apache.activemq/artemis-selector,org.apache.activemq/artemis-selector/1.5.6
org.apache.activemq/artemis-server,org.apache.activemq/artemis-server/1.5.6
org.apache.activemq/artemis-service-extensions,org.apache.activemq/artemis-service-extensions/1.5.6
org.apache.commons/commons-dbcp2,org.apache.commons/commons-dbcp2/2.1.1
org.apache.commons/commons-pool2,org.apache.commons/commons-pool2/2.4.3
org.apache.derby/derby,org.apache.derby/derby/10.13.1.1
org.apache.httpcomponents/httpasyncclient,org.apache.httpcomponents/httpasyncclient/4.1.3
org.apache.httpcomponents/fluent-hc,org.apache.httpcomponents/fluent-hc/4.5.5
org.apache.httpcomponents/httpclient,org.apache.httpcomponents/httpclient/4.5.5
org.apache.httpcomponents/httpclient-cache,org.apache.httpcomponents/httpclient-cache/4.5.5
org.apache.httpcomponents/httpclient-osgi,org.apache.httpcomponents/httpclient-osgi/4.5.5
org.apache.httpcomponents/httpclient-win,org.apache.httpcomponents/httpclient-win/4.5.5
org.apache.httpcomponents/httpcore,org.apache.httpcomponents/httpcore/4.4.9
org.apache.httpcomponents/httpmime,org.apache.httpcomponents/httpmime/4.5.5
org.apache.logging.log4j/log4j-bom,org.apache.logging.log4j/log4j-bom/2.7
org.apache.solr/solr-analysis-extras,org.apache.solr/solr-analysis-extras/5.5.5
org.apache.solr/solr-analytics,org.apache.solr/solr-analytics/5.5.5
org.apache.solr/solr-cell,org.apache.solr/solr-cell/5.5.5
org.apache.solr/solr-clustering,org.apache.solr/solr-clustering/5.5.5
org.apache.solr/solr-core,org.apache.solr/solr-core/5.5.5
org.apache.solr/solr-dataimporthandler,org.apache.solr/solr-dataimporthandler/5.5.5
org.apache.solr/solr-dataimporthandler-extras,org.apache.solr/solr-dataimporthandler-extras/5.5.5
org.apache.solr/solr-langid,org.apache.solr/solr-langid/5.5.5
org.apache.solr/solr-map-reduce,org.apache.solr/solr-map-reduce/5.5.5
org.apache.solr/solr-morphlines-cell,org.apache.solr/solr-morphlines-cell/5.5.5
org.apache.solr/solr-morphlines-core,org.apache.solr/solr-morphlines-core/5.5.5
org.apache.solr/solr-solrj,org.apache.solr/solr-solrj/5.5.5
org.apache.solr/solr-uima,org.apache.solr/solr-uima/5.5.5
org.apache.solr/solr-test-framework,org.apache.solr/solr-test-framework/5.5.5
org.apache.solr/solr-velocity,org.apache.solr/solr-velocity/5.5.5
org.apache.tomcat/tomcat-annotations-api,org.apache.tomcat/tomcat-annotations-api/8.5.29
org.apache.tomcat/tomcat-jdbc,org.apache.tomcat/tomcat-jdbc/8.5.29
org.apache.tomcat/tomcat-jsp-api,org.apache.tomcat/tomcat-jsp-api/8.5.29
org.apache.tomcat.embed/tomcat-embed-core,org.apache.tomcat.embed/tomcat-embed-core/8.5.29
org.apache.tomcat.embed/tomcat-embed-el,org.apache.tomcat.embed/tomcat-embed-el/8.5.29
org.apache.tomcat.embed/tomcat-embed-jasper,org.apache.tomcat.embed/tomcat-embed-jasper/8.5.29
org.apache.tomcat.embed/tomcat-embed-websocket,org.apache.tomcat.embed/tomcat-embed-websocket/8.5.29
org.aspectj/aspectjrt,org.aspectj/aspectjrt/1.8.13
org.aspectj/aspectjtools,org.aspectj/aspectjtools/1.8.13
org.aspectj/aspectjweaver,org.aspectj/aspectjweaver/1.8.13
org.assertj/assertj-core,org.assertj/assertj-core/2.6.0
org.codehaus.btm/btm,org.codehaus.btm/btm/2.1.4
org.codehaus.groovy/groovy,org.codehaus.groovy/groovy/2.4.15
org.codehaus.groovy/groovy-all,org.codehaus.groovy/groovy-all/2.4.15
org.codehaus.groovy/groovy-ant,org.codehaus.groovy/groovy-ant/2.4.15
org.codehaus.groovy/groovy-bsf,org.codehaus.groovy/groovy-bsf/2.4.15
org.codehaus.groovy/groovy-console,org.codehaus.groovy/groovy-console/2.4.15
org.codehaus.groovy/groovy-docgenerator,org.codehaus.groovy/groovy-docgenerator/2.4.15
org.codehaus.groovy/groovy-groovydoc,org.codehaus.groovy/groovy-groovydoc/2.4.15
org.codehaus.groovy/groovy-groovysh,org.codehaus.groovy/groovy-groovysh/2.4.15
org.codehaus.groovy/groovy-jmx,org.codehaus.groovy/groovy-jmx/2.4.15
org.codehaus.groovy/groovy-json,org.codehaus.groovy/groovy-json/2.4.15
org.codehaus.groovy/groovy-jsr223,org.codehaus.groovy/groovy-jsr223/2.4.15
org.codehaus.groovy/groovy-nio,org.codehaus.groovy/groovy-nio/2.4.15
org.codehaus.groovy/groovy-servlet,org.codehaus.groovy/groovy-servlet/2.4.15
org.codehaus.groovy/groovy-sql,org.codehaus.groovy/groovy-sql/2.4.15
org.codehaus.groovy/groovy-swing,org.codehaus.groovy/groovy-swing/2.4.15
org.codehaus.groovy/groovy-templates,org.codehaus.groovy/groovy-templates/2.4.15
org.codehaus.groovy/groovy-test,org.codehaus.groovy/groovy-test/2.4.15
org.codehaus.groovy/groovy-testng,org.codehaus.groovy/groovy-testng/2.4.15
org.codehaus.groovy/groovy-xml,org.codehaus.groovy/groovy-xml/2.4.15
org.codehaus.janino/janino,org.codehaus.janino/janino/2.7.8
org.crashub/crash.cli,org.crashub/crash.cli/1.3.2
org.crashub/crash.connectors.ssh,org.crashub/crash.connectors.ssh/1.3.2
org.crashub/crash.connectors.telnet,org.crashub/crash.connectors.telnet/1.3.2
org.crashub/crash.embed.spring,org.crashub/crash.embed.spring/1.3.2
org.crashub/crash.plugins.cron,org.crashub/crash.plugins.cron/1.3.2
org.crashub/crash.plugins.mail,org.crashub/crash.plugins.mail/1.3.2
org.crashub/crash.shell,org.crashub/crash.shell/1.3.2
org.eclipse.jetty/apache-jsp,org.eclipse.jetty/apache-jsp/9.4.9.v20180320
